strategy,run,ante_reached_at_game_end,won,total_dollars_earned
FullHouse_TwoPair_Economic,1,2,false,10
FullHouse_TwoPair_Economic,2,2,false,35
FullHouse_TwoPair_Economic,3,2,false,26
FullHouse_TwoPair_Economic,4,1,false,8
FullHouse_TwoPair_Economic,5,1,false,8
FullHouse_TwoPair_Economic_v2,1,1,false,8
FullHouse_TwoPair_Economic_v2,2,1,false,8
FullHouse_TwoPair_Economic_v2,3,1,false,8
FullHouse_TwoPair_Economic_v2,4,1,false,8
FullHouse_TwoPair_Economic_v2,5,1,false,4
xMult_Joker_Stacker,1,1,false,4
xMult_Joker_Stacker,2,1,false,4
xMult_Joker_Stacker,3,1,false,4
xMult_Joker_Stacker,4,1,false,4
xMult_Joker_Stacker,5,1,false,4
Flush_Joker_Specialist,1,1,false,8
Flush_Joker_Specialist,2,1,false,8
Flush_Joker_Specialist,3,1,false,8
Flush_Joker_Specialist,4,1,false,8
Flush_Joker_Specialist,5,1,false,8
Economy_Money_Machine,1,1,false,8
Economy_Money_Machine,2,1,false,8
Economy_Money_Machine,3,1,false,8
Economy_Money_Machine,4,1,false,8
Economy_Money_Machine,5,1,false,4
Mercenary_Opportunist,1,1,false,4
Mercenary_Opportunist,2,1,false,8
Mercenary_Opportunist,3,1,false,8
Mercenary_Opportunist,4,1,false,8
Mercenary_Opportunist,5,1,false,8
Random_Chaos,1,1,false,4
Random_Chaos,2,1,false,4
Random_Chaos,3,1,false,4
Random_Chaos,4,1,false,14
Random_Chaos,5,1,false,7
FullHouse_TwoPair_Economic,1,1,false,8
FullHouse_TwoPair_Economic,2,1,false,14
FullHouse_TwoPair_Economic,3,1,false,14
FullHouse_TwoPair_Economic,4,1,false,4
FullHouse_TwoPair_Economic,5,1,false,14
FullHouse_TwoPair_Economic_v2,1,1,false,4
FullHouse_TwoPair_Economic_v2,2,1,false,4
FullHouse_TwoPair_Economic_v2,3,1,false,4
FullHouse_TwoPair_Economic_v2,4,1,false,4
FullHouse_TwoPair_Economic_v2,5,1,false,4
FullHouse_TwoPair_Economic,1,1,false,14
FullHouse_TwoPair_Economic,2,1,false,10
FullHouse_TwoPair_Economic,3,1,false,8
FullHouse_TwoPair_Economic,4,4,false,90
FullHouse_TwoPair_Economic,1,1,false,7
FullHouse_TwoPair_Economic,2,1,false,16
FullHouse_TwoPair_Economic,3,1,false,16
FullHouse_TwoPair_Economic,4,1,false,16
FullHouse_TwoPair_Economic,5,1,false,4
FullHouse_TwoPair_Economic_v2,1,1,false,4
FullHouse_TwoPair_Economic_v2,2,1,false,4
FullHouse_TwoPair_Economic_v2,3,1,false,4
FullHouse_TwoPair_Economic,1,2,false,18
FullHouse_TwoPair_Economic,1,2,false,21
FullHouse_TwoPair_Economic,2,2,false,21
FullHouse_TwoPair_Economic,3,2,false,21
FullHouse_TwoPair_Economic,4,2,false,21
FullHouse_TwoPair_Economic,5,2,false,21
FullHouse_TwoPair_Economic,6,1,false,14
FullHouse_TwoPair_Economic,7,1,false,16
FullHouse_TwoPair_Economic,8,1,false,16
FullHouse_TwoPair_Economic,9,1,false,14
FullHouse_TwoPair_Economic,10,1,false,14
FullHouse_TwoPair_Economic,11,1,false,14
FullHouse_TwoPair_Economic,12,1,false,16
FullHouse_TwoPair_Economic,13,1,false,16
FullHouse_TwoPair_Economic,14,1,false,16
FullHouse_TwoPair_Economic,15,1,false,14
FullHouse_TwoPair_Economic_v2,1,1,false,4
FullHouse_TwoPair_Economic_v2,2,1,false,16
FullHouse_TwoPair_Economic_v2,3,1,false,4
FullHouse_TwoPair_Economic_v2,4,1,false,16
FullHouse_TwoPair_Economic_v2,5,1,false,16
FullHouse_TwoPair_Economic_v2,6,1,false,16
FullHouse_TwoPair_Economic_v2,7,1,false,16
FullHouse_TwoPair_Economic_v2,8,1,false,16
FullHouse_TwoPair_Economic_v2,9,1,false,16
FullHouse_TwoPair_Economic_v2,10,1,false,16
FullHouse_TwoPair_Economic_v2,11,1,false,16
